REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BENG00I00,2015,141
REGION1,BENG00I00,2016,141
REGION1,BENG00I00,2017,130
REGION1,BENG00I00,2018,120
REGION1,BENG00I00,2019,110
REGION1,BENG00I00,2020,100
REGION1,BENG00I00,2021,90
REGION1,BENG00I00,2022,80
REGION1,DENG00X00,2015,391
REGION1,DENG00X00,2016,391
REGION1,DENG00X00,2017,380
REGION1,DENG00X00,2018,380
REGION1,DENG00X00,2019,380
REGION1,DENG00X00,2020,380
REGION1,DENG00X00,2021,380
REGION1,DENG00X00,2022,386
REGION1,DKNG00X00,2015,11
REGION1,DKNG00X00,2016,11
REGION1,DKNG00X00,2017,10
REGION1,DKNG00X00,2018,9
REGION1,DKNG00X00,2019,8
REGION1,DKNG00X00,2020,7
REGION1,FING00I00,2015,31
REGION1,FING00I00,2016,31
REGION1,FING00I00,2017,27
REGION1,FING00I00,2018,25
REGION1,FING00I00,2019,22
REGION1,FING00I00,2020,20
REGION1,FING00I00,2021,25
REGION1,FING00I00,2022,23
REGION1,FRNG00I00,2015,112
REGION1,FRNG00I00,2016,112
REGION1,FRNG00I00,2017,112
REGION1,FRNG00I00,2018,112
REGION1,FRNG00I00,2019,112
REGION1,FRNG00I00,2020,112
REGION1,FRNG00X00,2015,12
REGION1,FRNG00X00,2016,12
REGION1,FRNG00X00,2017,12
REGION1,FRNG00X00,2018,12
REGION1,FRNG00X00,2019,12
REGION1,FRNG00X00,2020,12
REGION1,LUNG00I00,2015,5
REGION1,LUNG00I00,2016,5
REGION1,LUNG00I00,2017,5
REGION1,LUNG00I00,2018,5
REGION1,LUNG00I00,2019,5
REGION1,LUNG00I00,2020,5
REGION1,LUNG00I00,2021,5
REGION1,LVNG00I00,2015,23.62285714
REGION1,LVNG00I00,2016,25.23428571
REGION1,LVNG00I00,2017,21.96111111
REGION1,LVNG00I00,2018,18.68793651
REGION1,LVNG00I00,2019,15.4147619
REGION1,LVNG00I00,2020,12.1415873
REGION1,LVNG00I00,2021,8.868412698
REGION1,LVNG00I00,2022,5.595238095
REGION1,NLNG00X00,2015,285
REGION1,NLNG00X00,2016,285
REGION1,NLNG00X00,2017,280
REGION1,NLNG00X00,2018,280
REGION1,NLNG00X00,2019,280
REGION1,NLNG00X00,2020,280
REGION1,NLNG00X00,2021,280
REGION1,PLNG00X00,2015,47
REGION1,PLNG00X00,2016,47
REGION1,PLNG00X00,2017,40
REGION1,PLNG00X00,2018,40
REGION1,PLNG00X00,2019,40
REGION1,PLNG00X00,2020,40
REGION1,PLNG00X00,2021,40
REGION1,PLNG00X00,2022,40
REGION1,UKNG00X00,2015,619
REGION1,UKNG00X00,2016,619
REGION1,UKNG00X00,2017,610
REGION1,UKNG00X00,2018,610
REGION1,UKNG00X00,2019,610
REGION1,UKNG00X00,2020,610
REGION1,ATBMSTPH3,2015,8.752
REGION1,ATBMSTPH3,2016,8.752
REGION1,ATBMSTPH3,2017,8.752
REGION1,ATBMSTPH3,2018,8.752
REGION1,ATBMSTPH3,2019,8.752
REGION1,ATBMSTPH3,2020,8.752
REGION1,ATBMSTPH3,2021,6.132
REGION1,ATBMSTPH3,2022,4.885
REGION1,ATBMSTPH3,2023,4.885
REGION1,ATBMSTPH3,2024,4.885
REGION1,ATBMSTPH3,2025,4.885
REGION1,BEBMSTPH3,2015,12.373
REGION1,BEBMSTPH3,2016,12.541
REGION1,BEBMSTPH3,2017,12.541
REGION1,BEBMSTPH3,2018,12.982
REGION1,BEBMSTPH3,2019,13.569
REGION1,BEBMSTPH3,2020,14.093
REGION1,BEBMSTPH3,2021,14.68
REGION1,BEBMSTPH3,2022,15.309
REGION1,BEBMSTPH3,2023,15.33
REGION1,BEBMSTPH3,2024,15.33
REGION1,BEBMSTPH3,2025,15.33
REGION1,DEBMSTPH3,2015,139.943
REGION1,DEBMSTPH3,2016,144.41
REGION1,DEBMSTPH3,2017,150.512
REGION1,DEBMSTPH3,2018,159.005
REGION1,DEBMSTPH3,2019,165.863
REGION1,DEBMSTPH3,2020,173.518
REGION1,DEBMSTPH3,2021,176.097
REGION1,DEBMSTPH3,2022,177.272
REGION1,DEBMSTPH3,2023,178.655
REGION1,DEBMSTPH3,2024,182.389
REGION1,DEBMSTPH3,2025,182.389
REGION1,DKBMSTPH3,2015,10.691
REGION1,DKBMSTPH3,2016,10.691
REGION1,DKBMSTPH3,2017,10.691
REGION1,DKBMSTPH3,2018,10.691
REGION1,DKBMSTPH3,2019,10.691
REGION1,DKBMSTPH3,2020,10.691
REGION1,DKBMSTPH3,2021,10.691
REGION1,DKBMSTPH3,2022,10.691
REGION1,DKBMSTPH3,2023,7.657
REGION1,DKBMSTPH3,2024,7.657
REGION1,DKBMSTPH3,2025,7.657
REGION1,FIBMSTPH3,2015,0.08
REGION1,FIBMSTPH3,2016,0.08
REGION1,FIBMSTPH3,2017,0.08
REGION1,FIBMSTPH3,2018,0.08
REGION1,FIBMSTPH3,2019,0.08
REGION1,FIBMSTPH3,2020,0
REGION1,FIBMSTPH3,2021,0
REGION1,FIBMSTPH3,2022,0
REGION1,FIBMSTPH3,2023,0
REGION1,FIBMSTPH3,2024,0
REGION1,FIBMSTPH3,2025,0
REGION1,FRBMSTPH3,2015,0
REGION1,FRBMSTPH3,2016,3.565
REGION1,FRBMSTPH3,2017,3.565
REGION1,FRBMSTPH3,2018,38.587
REGION1,FRBMSTPH3,2019,40.496
REGION1,FRBMSTPH3,2020,33.093
REGION1,FRBMSTPH3,2021,33.114
REGION1,FRBMSTPH3,2022,27.284
REGION1,FRBMSTPH3,2023,28.165
REGION1,FRBMSTPH3,2024,29.422
REGION1,FRBMSTPH3,2025,29.422
REGION1,LVBMSTPH3,2015,2.367
REGION1,LVBMSTPH3,2016,2.367
REGION1,LVBMSTPH3,2017,2.367
REGION1,LVBMSTPH3,2018,2.367
REGION1,LVBMSTPH3,2019,2.367
REGION1,LVBMSTPH3,2020,2.367
REGION1,LVBMSTPH3,2021,2.367
REGION1,LVBMSTPH3,2022,2.367
REGION1,LVBMSTPH3,2023,2.367
REGION1,LVBMSTPH3,2024,2.367
REGION1,LVBMSTPH3,2025,2.367
REGION1,NLBMSTPH3,2015,8.385
REGION1,NLBMSTPH3,2016,8.385
REGION1,NLBMSTPH3,2017,8.385
REGION1,NLBMSTPH3,2018,8.385
REGION1,NLBMSTPH3,2019,8.385
REGION1,NLBMSTPH3,2020,8.385
REGION1,NLBMSTPH3,2021,8.385
REGION1,NLBMSTPH3,2022,8.385
REGION1,NLBMSTPH3,2023,8.385
REGION1,NLBMSTPH3,2024,8.385
REGION1,NLBMSTPH3,2025,8.385
REGION1,PLBMSTPH3,2015,1.353
REGION1,PLBMSTPH3,2016,1.353
REGION1,PLBMSTPH3,2017,1.353
REGION1,PLBMSTPH3,2018,1.353
REGION1,PLBMSTPH3,2019,1.353
REGION1,PLBMSTPH3,2020,1.353
REGION1,PLBMSTPH3,2021,1.353
REGION1,PLBMSTPH3,2022,1.353
REGION1,PLBMSTPH3,2023,1.353
REGION1,PLBMSTPH3,2024,1.353
REGION1,PLBMSTPH3,2025,1.353
REGION1,SEBMSTPH3,2015,61.449
REGION1,SEBMSTPH3,2016,61.449
REGION1,SEBMSTPH3,2017,61.449
REGION1,SEBMSTPH3,2018,61.449
REGION1,SEBMSTPH3,2019,61.449
REGION1,SEBMSTPH3,2020,61.449
REGION1,SEBMSTPH3,2021,61.449
REGION1,SEBMSTPH3,2022,61.449
REGION1,SEBMSTPH3,2023,61.449
REGION1,SEBMSTPH3,2024,61.449
REGION1,SEBMSTPH3,2025,61.449
REGION1,UKBMSTPH3,2015,106.436
REGION1,UKBMSTPH3,2016,106.436
REGION1,UKBMSTPH3,2017,106.436
REGION1,UKBMSTPH3,2018,106.436
REGION1,UKBMSTPH3,2019,106.436
REGION1,UKBMSTPH3,2020,106.436
REGION1,UKBMSTPH3,2021,106.436
REGION1,UKBMSTPH3,2022,106.436
REGION1,UKBMSTPH3,2023,101.401
REGION1,UKBMSTPH3,2024,101.279
REGION1,UKBMSTPH3,2025,101.033
REGION1,DECOSTPH3,2025,340
REGION1,DKCOCHPH3,2025,8.96
REGION1,FICOCHPH3,2025,2.41
REGION1,PLCOCHPH3,2025,270.82
